OID_,Value,Count,,0
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,23
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,24
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,25
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,26
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,27
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,28
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,29
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,30
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,31
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,32
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,33
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,34
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,35
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
,,,,36
